id,Canonical SMILES,Eat
0,CC(C)CC(CC(C)C)CC(CC(C)C)O,-19.013762529999862
1,COCCOC(=O)N(CO)CO,-10.161019429999952
2,CCC(C)C(C)CO,-9.376619229999946
3,CCCC(C)COCCOCCO,-13.77643798999992
4,CC(CCOC)OC,-8.537139989999929
5,C1=CC=C(C=C1)N(C2=CC=CC=C2)C(=N)N=C(N)N,-16.169604039999967
6,C1=CC=C(C=C1)CN(C2=CC=CC=C2)C(=N)N=C(N)N,-17.37847680999994
7,C1CN(CC2=CC=CC=C21)CC3=CC=CC=C3,-15.67373737999992
8,C1C(=CC2=CC=CC=C2O1)C(=O)N,-10.42785139999998
9,CCC1(COC1)CC,-8.744178289999937
10,C1=CN2C3C(C(C(O3)CO)O)OC2=NC1=N,-12.24432539999998
11,CC(CO)OCC(C)OCC(C)OC,-14.14937619999995
12,CCCOC(C)CO,-8.572028589999945
13,C1CCN(CC1)SSN2CCCCC2,-13.696046399999943
14,CC(C)(CO)C(C#N)O,-8.293732929999948
15,CC1=C(C=CC(=C1)OC(=O)NC)N,-11.24805491999996
16,C1=CC(=CC(=C1)[N+](=O)[O-])NCC(=O)O,-10.170326989999978
17,CC1=CC2=C(C=C1)OC(=O)C(=C2)C(=O)O,-11.116150449999964
18,C1CCC(C1)N=C(N)N=C(N)N,-11.642477689999964
19,C1CC(=O)NC1CC(=O)O,-8.32957196999999
20,COCCOC(=O)CC#N,-8.170857289999987
21,CN(C)CCC1=CSC2=CC=CC=C21,-12.796348819999936
22,CC1(CC(=O)C2C(C1)(O2)C)C,-10.50098633999994
23,CC1=CC=CC=C1N=CN(C)C,-11.520089419999948
24,CN(C)CCC1=CC=CC=C1,-11.19745772999994
25,CC(C)(C(=O)OCCC1=CC=CC=C1)O,-13.505987769999932
26,CCOC(=O)C(=C1CC(OC(C1)C)C)C#N,-14.299902609999949
27,CC1(C2CCC1(CC2=O)C)C,-11.331558009999924
28,C1CN1S(=O)(=O)C2=CC=CC=C2,-9.290618789999968
29,CNNCC1=CC=CC=C1,-9.58683487999994
30,COC1=CC2=C(C=C1[N+](=O)[O-])OCO2,-9.57439187
31,CN1C2=CC=CC=C2C(=O)OC1=O,-9.729446889999991
32,CCC(CC)(CC)COC(=O)C,-12.902432709999914
33,C1=CC=C2C=C(C=CC2=C1)C(=O)NO,-11.006222699999968
34,C(C(=O)O)N[N+](=O)[O-],-5.116974929999998
35,CCC(=CCCC(C)(C=C)O)C,-13.008912699999913
36,CN(C)CCCC1=CC=CC=C1,-12.400709699999908
37,CC1=C2C3=CC=CC4=C3C(=CC=C4)C5=CC=CC(=C52)C=C1,-17.594875009999924
38,CC1=NC(=NO1)C2=CN=CC=C2,-9.265445229999983
39,CC1(C2CCC1(C(=O)C2=O)C)C,-11.17162216999995
40,CCCCCCC=CCCCCCC,-16.82147763999987
41,CC1=CC(=C(C=C1C(C)C)C)C(C)C,-15.206233259999893
42,C1COCCN1C2=CC=C(C=C2)[N+](=O)[O-],-12.06352031
43,C1=CC=C(C=C1)C(=C(C#N)C#N)C2=CC=CC=C2,-14.21330009999997
44,CC(COC(=O)C)C1=CC=CC=C1,-11.89879892999994
45,C1CCC2=CC=CC=C2C(C1)N,-11.887214509999922
46,CN(C)C1=NC(=NC(=N1)NN)N(C)C,-12.79199639999996
47,CCNC1=NC(=NC(=N1)NN)NCC,-12.84794543999996
48,C1=CC=C2C(C3=CC=CC=C3C=CC2=C1)C(=O)N,-15.045779739999944
49,C[N+](C)(C)CC[N+](C)(C)C,-11.898032819999912
50,CCCC(=O)N1CC1,-7.853976439999968
51,CCC(=C(C#N)C#N)C1=CC=CC=C1,-11.624580229999964
52,CC[N+](C)(C)CCSCC[N+](C)(C)CC,-16.971596599999884
53,CC1=C(C=CC(=C1)[N+](=O)[O-])NC,-9.847888509999962
54,CCCCC1=NCCN1,-9.576778539999964
55,CCOC(C)OC,-7.355837259999959
56,CC(=C)C(OC(=O)C)OC(=O)C,-10.209434639999955
57,CC1C(C(C(C(O1)O)O)O)O,-9.282888849999978
58,CC(=O)OC(C)(C1=CC=CC=C1)C(=O)O,-12.192839909999918
59,CCC(C)(C)OOC(C)(C)CC,-13.252493349999895
60,CC(=O)C1=CC=C(C=C1)NO,-9.009767919999971
61,CC(=O)OC1CCC2CCCCC2C1,-14.235659419999903
62,C1CCC2CC(CCC2C1)OC=O,-13.010796179999916
63,C1C2CC3CC1CC(C2)C3N,-11.809996949999912
64,CNC1C2CC3CC(C2)CC1C3,-12.99383822999991
65,C(CN(CC(=O)O)[N+](=O)[O-])C(=O)O,-9.038147299999991
