,idx,smiles,set
0,1748,C1=C(C=NC=C1O)C(=O)O,train
1,4798,CC(C)N(CCCN)N(N=O)O,train
2,13678,CC1=CC(=C(C(=C1)O)O)C(C)(C)C,train
3,7606,CC1=CCC(CC1)(C(C)C)O,train
4,9772,CC1=C(C=CC(=C1)O)[N+](=O)[O-],train
5,11170,CC1=CC(=C(C=C1)N=NC(C#N)C#N)[N+](=O)[O-],train
6,308,CC1(CCC=CC1)C,train
7,15220,CCOC(=O)C1CCNCC1,train
8,9628,CCCC(C)C(C)O,train
9,10798,C1CC(CC=C1)C2=CC=CC=C2,train
10,4747,CNNC,train
11,9848,CC1=CC(=C(C(=C1)O)O)C,train
12,10095,C1=COC(=C1)C(=O)NN,train
13,15984,CCCOP(=O)(O)O,train
14,10084,CC(=C)CC1=CC=CC=C1,train
15,10189,C1CCN(CC1)CCCN,train
16,6777,COC1=C(C=CC(=C1)C(=O)O)O,train
17,15564,C1=NC(=C(N1)C(=O)NN)C(=O)NN,train
18,8515,CC(=C)C(=O)C,train
19,6550,CC1CCCCC1,train
20,6152,C(C(CS)O)O,train
21,7530,CCC=CCCO,train
22,829,CN1CCCCC1COC2C3=C(CCC4=CC=CC=C24)N=CC=C3,train
23,8383,C1CCC2(CC1)C(=O)NC(=O)N2,train
24,10803,CCN1C(=O)C2=CC=CC=C2C1=O,train
25,11127,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)N,train
26,2076,CC1=NC1C(=O)O,train
27,7804,CCCCN=C=S,train
28,1017,COP(=O)(CCC(=O)NCO)OC,train
29,6619,CCCCCN,train
30,7567,CCC(=O)OC,train
31,15969,CC1=NC=CN1CCO,train
32,6455,CCC(CC(C)C)CO,train
33,14565,CC1=C(C=C(C=C1)S(=O)(=O)O)N,train
34,8439,CN(C=O)N,train
35,13960,CC(=NNC(=O)N)C,train
36,7635,C1=CC2=CC(=O)C(=C(C(=C2C(=C1)O)O)O)O,train
37,13265,CCCC(C)C(=O)OCC,train
38,5078,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,train
39,15142,CC(CO)N1CCNCC1,train
40,3667,CCCN=C(C(C1=CC=CC=C1)OCC)N,train
41,4681,OS(=O)(=O)O,train
42,2826,C1=CC=C(C=C1)C(C#N)N,train
43,16106,CCCC(=O)C(=O)O,train
44,10603,CC1=C(C(=C2C(=C1C)C=CC3=CC=CC=C32)C)C,train
45,2122,CN(C)CC(OC1=CC=CC=C1)OC2=CC=CC=C2,train
46,10724,CC(=C)CC#N,train
47,9498,C1CCCC(CC1)(C2=CC=CC=C2)O,train
48,15130,C(O)P(=O)(CO)CO,train
49,13479,C1=CC(=CC=C1CC(C(=O)O)N)[N+](=O)[O-],train
50,15812,C1=CC=C2C(=C1)C(C3=CC=CC=C32)C#N,train
51,9394,C1=CC(=CC=C1O)OCC(=O)O,train
52,13706,C1CCC2=CC3=C(CCCC3)C=C2C1,train
53,14044,C1=CC2=C(C(=C1)[N+](=O)[O-])C(=O)C3=C(C2=O)C=CC=C3[N+](=O)[O-],train
54,12521,CCC(C(=O)O)OC1=CC=CC=C1,train
55,8490,CCC1=CC=C(C=C1)CO,train
56,6784,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N,train
57,9229,CCC=C(C)CO,train
58,2760,C1=CC(=C(C=C1[N+](=O)[O-])O)N(CCO)CCO,train
59,12,CCCOC(C)CO,train
60,7368,CCC1=C(NC=C1C)C,train
61,15971,CCCNNCCC,train
62,13732,CC#CCCO,train
63,7354,C1CC2CCCC3C2C(C1)NP(=O)(N3)N4CC4,train
64,452,C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C#N,train
65,5068,CCN(CC)C(=O)N1CCN(CC1)C,train
66,2669,CNC1CCCC2=CC(=C(C(=C2C1)O)OC)OC,train
67,4144,CC(C)C(C(C(=O)O)O)C(=O)O,train
68,11621,CC1CN1C(=O)C2=CC(=CC=C2)C(=O)N3CC3C,train
69,379,CC1=CC2=C(C(=O)C=CC2=O)C(=C1)O,train
70,2619,C1=CC=C(C=C1)CNN=C(N)N,train
71,7563,C1=CC(=CN=C1)C(=O)NN,train
72,4688,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,train
73,15544,C1CN2CC=C(C2C1O)CO,train
74,561,CN(N=O)OC,train
75,15724,CC(C)C1=CC(=C(C)C)CCC1O,train
76,3634,C1=CC=C(C(=C1)NC=O)OCC(=O)O,train
77,7798,C1CC=CC=C1,train
78,4194,C1=CC(=O)OC1=CC(=O)O,train
79,14652,CCCCCOC,train
80,261,CCC(=O)C1=CC=CS1,train
81,12830,CC(C)CC(=O)OC1CC2CCC1(C2(C)C)C,train
82,8475,C1CCC(CC1)NC=O,train
83,12964,CCC=CCC(=O)OC,train
84,7650,C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O,train
